เขต,ชื่อจังหวัด,รหัสหน่วยงาน,ชื่อหน่วยงาน,ประเภทหน่วยงาน,ประเภทServicePlan,จํานวนเตียงจริง,จํานวนเตียงICUทั่วไป,จํานวนเตียงNICU,จํานวนเตียงCCU,จํานวนเตียงICUแผนกโรคอื่นๆ,รวมจํานวนเตียงICUทั้งหมด,จํานวนห้องผ่าตัด,CMI_2561,IP_2561,วันนอนผู้ป่วยใน2561,TotalAdjRW2561,OP_Visit_2561,F19,F20,F21
1,เชียงราย,11197,โรงพยาบาลพญาเม็งราย,โรงพยาบาลชุมชน,F2,60,0,0,0,0,0,1,0.6673,3158,10703,2050,143034,NULL,NULL,NULL
1,เชียงราย,11200,โรงพยาบาลแม่ฟ้าหลวง,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.5027,3624,10349,1822,85376,NULL,NULL,NULL
1,เชียงราย,11201,โรงพยาบาลแม่ลาว,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.7245,2080,5170,1490,193005,NULL,NULL,NULL
1,เชียงราย,11195,โรงพยาบาลแม่สรวย,โรงพยาบาลชุมชน,F2,65,0,0,0,0,0,1,0.6695,4564,16494,2995,168490,NULL,NULL,NULL
1,เชียงราย,11198,โรงพยาบาลเวียงแก่น,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.5041,3346,9670,1687,106932,NULL,NULL,NULL
1,เชียงราย,11202,โรงพยาบาลเวียงเชียงรุ้ง,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.7041,1751,6157,1233,91060,NULL,NULL,NULL
1,เชียงราย,15012,โรงพยาบาลสมเด็จพระญาณสังวร,โรงพยาบาลชุมชน,F2,43,0,0,0,0,0,1,0.9025,2911,8953,2627,174628,NULL,NULL,NULL
1,เชียงราย,28823,โรงพยาบาลดอยหลวง,โรงพยาบาลชุมชน,F3,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,70506,NULL,NULL,NULL
1,เชียงใหม่,10713,โรงพยาบาลนครพิงค์,โรงพยาบาลศูนย์,A,609,61,24,8,0,93,18,1.93,54758,281537,105875,660740,NULL,NULL,NULL
1,เชียงใหม่,11119,โรงพยาบาลจอมทอง,โรงพยาบาลทั่วไป,M1,240,10,8,0,4,22,4,1.13,17865,67333,19891,377533,NULL,NULL,NULL
1,เชียงใหม่,11125,โรงพยาบาลฝาง,โรงพยาบาลทั่วไป,M1,230,8,8,0,0,16,7,1.0967,15141,66679,16605,363843,NULL,NULL,NULL
1,เชียงใหม่,11130,โรงพยาบาลสันทราย,โรงพยาบาลชุมชน,M2,168,0,14,0,0,14,2,0.9726,12859,58690,12503,253132,NULL,NULL,NULL
1,เชียงใหม่,11128,โรงพยาบาลสันป่าตอง,โรงพยาบาลชุมชน,M2,168,8,0,0,0,8,3,0.9601,12811,41712,12299,285352,NULL,NULL,NULL
1,เชียงใหม่,11121,โรงพยาบาลเชียงดาว,โรงพยาบาลชุมชน,F1,89,5,0,0,0,5,1,0.6193,6277,18755,3882,165969,NULL,NULL,NULL
1,เชียงใหม่,11131,โรงพยาบาลหางดง,โรงพยาบาลชุมชน,F1,88,0,0,0,0,0,2,0.7856,7380,28161,5798,178789,NULL,NULL,NULL
1,เชียงใหม่,11137,โรงพยาบาลไชยปราการ,โรงพยาบาลชุมชน,F2,45,0,0,0,0,0,1,0.6167,3623,10463,2234,95145,NULL,NULL,NULL
1,เชียงใหม่,11133,โรงพยาบาลดอยเต่า,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,0,0.5966,2841,7099,1695,74346,NULL,NULL,NULL
1,เชียงใหม่,11122,โรงพยาบาลดอยสะเก็ด,โรงพยาบาลชุมชน,F2,60,0,0,0,0,0,1,0.6289,5710,18628,3591,135523,NULL,NULL,NULL
1,เชียงใหม่,11643,โรงพยาบาลดอยหล่อ,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,0,0.62,1638,6678,1019,57450,NULL,NULL,NULL
1,เชียงใหม่,11120,โรงพยาบาลเทพรัตนเวชชานุกุล เฉลิมพระเกียรติ 60 พรรษา,โรงพยาบาลชุมชน,F2,60,0,0,0,0,0,2,0.5513,4059,12829,2238,143766,NULL,NULL,NULL
1,เชียงใหม่,11127,โรงพยาบาลพร้าว,โรงพยาบาลชุมชน,F2,67,0,0,0,0,0,1,0.5853,5121,16242,2997,122715,NULL,NULL,NULL
1,เชียงใหม่,11123,โรงพยาบาลแม่แตง,โรงพยาบาลชุมชน,F2,60,0,0,0,0,0,1,0.6156,6037,20439,3716,156397,NULL,NULL,NULL
1,เชียงใหม่,11138,โรงพยาบาลแม่วาง,โรงพยาบาลชุมชน,F2,36,0,0,0,0,0,1,0.51,4137,9858,2123,80053,NULL,NULL,NULL
1,เชียงใหม่,11139,โรงพยาบาลแม่ออน,โรงพยาบาลชุมชน,F2,31,0,0,0,0,0,1,0.7101,2467,7372,1752,70282,NULL,NULL,NULL
1,เชียงใหม่,11126,โรงพยาบาลแม่อาย,โรงพยาบาลชุมชน,F2,75,0,0,0,0,0,0,0.6217,7011,21992,4349,142558,NULL,NULL,NULL
1,เชียงใหม่,11136,โรงพยาบาลเวียงแหง,โรงพยาบาลชุมชน,F2,36,0,0,0,0,0,1,0.54,1963,5866,1051,55030,NULL,NULL,NULL
1,เชียงใหม่,11124,โรงพยาบาลสะเมิง,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.5713,3117,10247,1781,60440,NULL,NULL,NULL
1,เชียงใหม่,11129,โรงพยาบาลสันกําแพง,โรงพยาบาลชุมชน,F2,57,0,0,0,0,0,0,0.9965,4312,14232,4297,122241,NULL,NULL,NULL
1,เชียงใหม่,11135,โรงพยาบาลสารภี,โรงพยาบาลชุมชน,F2,60,0,0,0,0,0,1,0.6876,4501,15759,3095,161443,NULL,NULL,NULL
1,เชียงใหม่,11134,โรงพยาบาลอมก๋อย,โรงพยาบาลชุมชน,F2,64,0,0,0,0,0,1,0.5245,5154,15549,2716,93353,NULL,NULL,NULL
1,เชียงใหม่,11132,โรงพยาบาลฮอด,โรงพยาบาลชุมชน,F2,77,0,0,0,0,0,1,0.5714,6246,17427,3569,127663,NULL,NULL,NULL
1,เชียงใหม่,23736,โรงพยาบาลวัดจันทร์ เฉลิมพระเกียรติ 80 พรรษา,โรงพยาบาลชุมชน,F3,23,0,0,0,0,0,0,0.467,1494,3744,665,35399,NULL,NULL,NULL
1,น่าน,10716,โรงพยาบาลน่าน,โรงพยาบาลทั่วไป,S,502,24,4,0,4,32,12,1.4244,38509,173073,54851,396318,NULL,NULL,NULL
1,น่าน,11453,โรงพยาบาลสมเด็จพระยุพราชปัว,โรงพยาบาลชุมชน,M2,125,8,0,0,0,8,4,1.0799,9402,36748,10153,193183,NULL,NULL,NULL
1,น่าน,11625,โรงพยาบาลเฉลิมพระเกียรติ,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,0,0.5669,1202,3982,681,25569,NULL,NULL,NULL
1,น่าน,11179,โรงพยาบาลเชียงกลาง,โรงพยาบาลชุมชน,F2,37,0,0,0,0,0,0,0.6437,2614,6941,1683,80298,NULL,NULL,NULL
1,น่าน,11176,โรงพยาบาลท่าวังผา,โรงพยาบาลชุมชน,F2,36,0,0,0,0,0,0,0.6448,4028,12025,2597,118035,NULL,NULL,NULL
1,น่าน,11178,โรงพยาบาลทุ่งช้าง,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,0,0.5834,2473,7491,1443,54486,NULL,NULL,NULL
1,น่าน,11175,โรงพยาบาลนาน้อย,โรงพยาบาลชุมชน,F2,40,0,0,0,0,0,0,0.6592,2981,9856,1965,81331,NULL,NULL,NULL
1,น่าน,11180,โรงพยาบาลนาหมื่น,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,0,0.7136,1234,3871,881,41019,NULL,NULL,NULL
1,น่าน,11182,โรงพยาบาลบ่อเกลือ,โรงพยาบาลชุมชน,F2,20,0,0,0,0,0,0,0.5932,1566,5273,929,28585,NULL,NULL,NULL
1,น่าน,11174,โรงพยาบาลบ้านหลวง,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,0,0.5666,1518,4283,860,38730,NULL,NULL,NULL
1,น่าน,11173,โรงพยาบาลแม่จริม,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,0,0.6465,1947,5973,1259,45174,NULL,NULL,NULL
1,น่าน,11177,โรงพยาบาลเวียงสา,โรงพยาบาลชุมชน,F2,84,0,0,0,0,0,0,0.6073,7135,22519,4333,132108,NULL,NULL,NULL
1,น่าน,11183,โรงพยาบาลสองแคว,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,0,0.6356,1151,3404,732,28520,NULL,NULL,NULL
1,น่าน,11181,โรงพยาบาลสันติสุข,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,0,0.6154,1688,4864,1039,52258,NULL,NULL,NULL
1,น่าน,25017,โรงพยาบาลภูเพียง,โรงพยาบาลชุมชน,F3,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,48017,NULL,NULL,NULL
1,พะเยา,10717,โรงพยาบาลพะเยา,โรงพยาบาลทั่วไป,S,400,22,6,0,0,28,9,1.3457,26951,123685,36267,476415,NULL,NULL,NULL
1,พะเยา,10718,โรงพยาบาลเชียงคํา,โรงพยาบาลทั่วไป,M1,231,10,0,0,0,10,8,1.13,18453,78414,20900,394084,NULL,NULL,NULL
1,พะเยา,11184,โรงพยาบาลจุน,โรงพยาบาลชุมชน,F2,52,0,0,0,0,0,0,0.6371,3751,11547,2390,134547,NULL,NULL,NULL
1,พะเยา,11185,โรงพยาบาลเชียงม่วน,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,0,0.6567,1998,5653,1311,73573,NULL,NULL,NULL
1,พะเยา,11186,โรงพยาบาลดอกคําใต้,โรงพยาบาลชุมชน,F2,76,0,0,0,0,0,0,0.8298,5149,21533,4252,150167,NULL,NULL,NULL
1,พะเยา,11187,โรงพยาบาลปง,โรงพยาบาลชุมชน,F2,56,0,0,0,0,0,0,0.6614,4206,14244,2782,132307,NULL,NULL,NULL
1,พะเยา,11188,โรงพยาบาลแม่ใจ,โรงพยาบาลชุมชน,F2,34,0,0,0,0,0,0,0.5732,2302,6716,1319,86918,NULL,NULL,NULL
1,พะเยา,40745,โรงพยาบาลภูกามยาว,โรงพยาบาลชุมชน,F3,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,9025,NULL,NULL,NULL
1,พะเยา,40744,โรงพยาบาลภูซาง,โรงพยาบาลชุมชน,F3,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,แพร่,10715,โรงพยาบาลแพร่,โรงพยาบาลทั่วไป,S,500,26,6,2,0,34,8,1.3879,37351,165110,51838,554529,NULL,NULL,NULL
1,แพร่,11452,โรงพยาบาลสมเด็จพระยุพราชเด่นชัย,โรงพยาบาลชุมชน,F1,34,0,0,0,0,0,1,0.5868,3748,11206,2199,116064,NULL,NULL,NULL
1,แพร่,11166,โรงพยาบาลร้องกวาง,โรงพยาบาลชุมชน,F2,64,0,0,0,0,0,1,0.5905,5892,15937,3479,121174,NULL,NULL,NULL
1,แพร่,11167,โรงพยาบาลลอง,โรงพยาบาลชุมชน,F2,60,0,0,0,0,0,2,0.5633,4960,13230,2794,113353,NULL,NULL,NULL
1,แพร่,11171,โรงพยาบาลวังชิ้น,โรงพยาบาลชุมชน,F2,38,0,0,0,0,0,1,0.5388,4048,9182,2181,120636,NULL,NULL,NULL
1,แพร่,11170,โรงพยาบาลสอง,โรงพยาบาลชุมชน,F2,35,0,0,0,0,0,1,0.57,3360,7731,1921,112388,NULL,NULL,NULL
1,แพร่,11169,โรงพยาบาลสูงเม่น,โรงพยาบาลชุมชน,F2,42,0,0,0,0,0,3,0.6381,3175,9270,2026,133759,NULL,NULL,NULL
1,แพร่,11172,โรงพยาบาลหนองม่วงไข่,โรงพยาบาลชุมชน,F2,34,0,0,0,0,0,1,0.4713,2763,5627,1302,74603,NULL,NULL,NULL
1,แม่ฮ่องสอน,10719,โรงพยาบาลศรีสังวาลย์,โรงพยาบาลทั่วไป,S,198,5,6,0,0,11,6,1.2533,9813,46995,12299,169451,NULL,NULL,NULL
1,แม่ฮ่องสอน,11205,โรงพยาบาลแม่สะเรียง,โรงพยาบาลชุมชน,M2,118,4,4,0,0,8,1,0.8034,8233,29175,6614,134228,NULL,NULL,NULL
1,แม่ฮ่องสอน,11204,โรงพยาบาลปาย,โรงพยาบาลชุมชน,F1,60,2,0,0,0,2,2,0.5768,4095,13323,2362,132547,NULL,NULL,NULL
1,แม่ฮ่องสอน,11203,โรงพยาบาลขุนยวม,โรงพยาบาลชุมชน,F2,34,0,0,0,0,0,1,0.5351,3859,12134,2064,63007,NULL,NULL,NULL
1,แม่ฮ่องสอน,11208,โรงพยาบาลปางมะผ้า,โรงพยาบาลชุมชน,F2,34,0,0,0,0,0,1,0.5553,2360,7729,1311,54223,NULL,NULL,NULL
1,แม่ฮ่องสอน,11206,โรงพยาบาลแม่ลาน้อย,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.5328,2101,5327,1119,72759,NULL,NULL,NULL
1,แม่ฮ่องสอน,11207,โรงพยาบาลสบเมย,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.589,1699,5763,1001,47816,NULL,NULL,NULL
1,ลําปาง,10672,โรงพยาบาลลําปาง,โรงพยาบาลศูนย์,A,743,52,12,10,0,74,23,2.1522,55579,267608,119614,1019235,NULL,NULL,NULL
1,ลําปาง,11147,โรงพยาบาลเกาะคา,โรงพยาบาลชุมชน,M2,120,8,0,0,0,8,2,0.9968,10318,37392,10285,188044,NULL,NULL,NULL
1,ลําปาง,11152,โรงพยาบาลเถิน,โรงพยาบาลชุมชน,M2,60,0,0,0,0,0,2,0.7926,5497,17984,4357,164787,NULL,NULL,NULL
1,ลําปาง,11149,โรงพยาบาลงาว,โรงพยาบาลชุมชน,F2,40,0,0,0,0,0,1,0.645,4673,12459,3014,146777,NULL,NULL,NULL
1,ลําปาง,11150,โรงพยาบาลแจ้ห่ม,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.6504,3282,9246,2135,135650,NULL,NULL,NULL
1,ลําปาง,11157,โรงพยาบาลเมืองปาน,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.6575,2753,7852,1810,81661,NULL,NULL,NULL
1,ลําปาง,11154,โรงพยาบาลแม่ทะ,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.7127,3061,8113,2182,123481,NULL,NULL,NULL
1,ลําปาง,11153,โรงพยาบาลแม่พริก,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,0,0.7049,1281,3758,903,52599,NULL,NULL,NULL
1,ลําปาง,11146,โรงพยาบาลแม่เมาะ,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.6047,3489,8154,2110,132314,NULL,NULL,NULL
1,ลําปาง,11151,โรงพยาบาลวังเหนือ,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.6544,3510,10715,2297,119845,NULL,NULL,NULL
1,ลําปาง,11155,โรงพยาบาลสบปราบ,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.755,2837,7766,2142,89098,NULL,NULL,NULL
1,ลําปาง,11148,โรงพยาบาลเสริมงาม,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.657,3121,8814,2051,103719,NULL,NULL,NULL
1,ลําปาง,11156,โรงพยาบาลห้างฉัตร,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.6834,3042,7959,2079,139897,NULL,NULL,NULL
1,ลําพูน,10714,โรงพยาบาลลําพูน,โรงพยาบาลทั่วไป,S,411,36,6,0,0,42,14,1.4309,34522,136707,49399,527753,NULL,NULL,NULL
1,ลําพูน,11142,โรงพยาบาลลี้,โรงพยาบาลชุมชน,F1,60,0,0,0,0,0,1,0.5929,5382,15082,3191,211196,NULL,NULL,NULL
1,ลําพูน,11143,โรงพยาบาลทุ่งหัวช้าง,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.5745,2266,5698,1302,80824,NULL,NULL,NULL
1,ลําพูน,11145,โรงพยาบาลบ้านธิ,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.5535,2072,5068,1147,94584,NULL,NULL,NULL
1,ลําพูน,11141,โรงพยาบาลบ้านโฮ่ง,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.6141,3599,8576,2210,129086,NULL,NULL,NULL
1,ลําพูน,11144,โรงพยาบาลป่าซาง,โรงพยาบาลชุมชน,F2,60,3,0,0,0,3,1,0.6836,5564,17779,3804,147626,NULL,NULL,NULL
1,ลําพูน,11140,โรงพยาบาลแม่ทา,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.6539,2739,5437,1791,99564,NULL,NULL,NULL
1,ลําพูน,24956,โรงพยาบาลเวียงหนองล่อง,โรงพยาบาลชุมชน,F3,10,0,0,0,0,0,0,0.6492,476,1009,309,70903,NULL,NULL,NULL
2,ตาก,10723,โรงพยาบาลแม่สอด,โรงพยาบาลทั่วไป,S,365,8,8,0,4,20,6,1.3666,26219,137858,35832,430012,NULL,NULL,NULL
2,ตาก,10722,โรงพยาบาลสมเด็จพระเจ้าตากสินมหาราช,โรงพยาบาลทั่วไป,S,310,8,8,0,0,16,9,1.1662,19382,82898,22603,359350,NULL,NULL,NULL
2,ตาก,11241,โรงพยาบาลท่าสองยาง,โรงพยาบาลชุมชน,M2,78,4,0,0,0,4,1,0.5365,7095,26660,3807,106960,NULL,NULL,NULL
2,ตาก,11243,โรงพยาบาลอุ้มผาง,โรงพยาบาลชุมชน,M2,72,4,3,0,0,7,2,0.8091,5327,20169,4310,102506,NULL,NULL,NULL
2,ตาก,11242,โรงพยาบาลพบพระ,โรงพยาบาลชุมชน,F1,75,0,0,0,0,0,1,0.6482,6571,24585,4260,123549,NULL,NULL,NULL
2,ตาก,11240,โรงพยาบาลแม่ระมาด,โรงพยาบาลชุมชน,F1,120,0,0,0,0,0,2,0.6416,9784,37531,6278,148191,NULL,NULL,NULL
2,ตาก,11238,โรงพยาบาลบ้านตาก,โรงพยาบาลชุมชน,F2,60,0,0,0,0,0,1,0.695,3074,10404,2136,121520,NULL,NULL,NULL
2,ตาก,11239,โรงพยาบาลสามเงา,โรงพยาบาลชุมชน,F2,36,0,0,0,0,0,1,0.6396,1989,7483,1272,94356,NULL,NULL,NULL
2,ตาก,27443,โรงพยาบาลวังเจ้า,โรงพยาบาลชุมชน,F3,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,59151,NULL,NULL,NULL
2,พิษณุโลก,10676,โรงพยาบาลพุทธชินราช,โรงพยาบาลศูนย์,A,1052,75,20,12,0,107,20,2.153,63513,325509,136746,895516,NULL,NULL,NULL
2,พิษณุโลก,11455,โรงพยาบาลสมเด็จพระยุพราชนครไทย,โรงพยาบาลชุมชน,M2,90,0,0,0,0,0,2,0.7162,7922,25583,5674,177052,NULL,NULL,NULL
2,พิษณุโลก,11251,โรงพยาบาลชาติตระการ,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.6009,3173,8808,1907,105238,NULL,NULL,NULL
2,พิษณุโลก,11257,โรงพยาบาลเนินมะปราง,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.6013,3873,11244,2329,101035,NULL,NULL,NULL
2,พิษณุโลก,11253,โรงพยาบาลบางกระทุ่ม,โรงพยาบาลชุมชน,F2,56,0,0,0,0,0,1,0.622,3331,11876,2072,130506,NULL,NULL,NULL
2,พิษณุโลก,11252,โรงพยาบาลบางระกํา,โรงพยาบาลชุมชน,F2,50,0,0,0,0,0,1,0.5929,5659,17117,3355,183393,NULL,NULL,NULL
2,พิษณุโลก,11254,โรงพยาบาลพรหมพิราม,โรงพยาบาลชุมชน,F2,40,0,0,0,0,0,1,0.6407,3809,13140,2440,148189,NULL,NULL,NULL
2,พิษณุโลก,11256,โรงพยาบาลวังทอง,โรงพยาบาลชุมชน,F2,73,0,0,0,0,0,4,0.7414,6609,26863,4900,180871,NULL,NULL,NULL
2,พิษณุโลก,11255,โรงพยาบาลวัดโบสถ์,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.6443,4162,12178,2682,117240,NULL,NULL,NULL
2,เพชรบูรณ์,10727,โรงพยาบาลเพชรบูรณ์,โรงพยาบาลทั่วไป,S,509,10,8,0,14,32,8,1.4413,38537,193030,55544,482304,NULL,NULL,NULL
2,เพชรบูรณ์,11266,โรงพยาบาลวิเชียรบุรี,โรงพยาบาลชุมชน,M2,240,8,7,0,10,25,8,1.067,17737,70502,18925,243396,NULL,NULL,NULL
2,เพชรบูรณ์,11265,โรงพยาบาลหล่มสัก,โรงพยาบาลชุมชน,M2,205,6,8,0,0,14,3,0.877,17255,66751,15133,276017,NULL,NULL,NULL
2,เพชรบูรณ์,11457,โรงพยาบาลสมเด็จพระยุพราชหล่มเก่า,โรงพยาบาลชุมชน,F1,121,0,3,0,0,3,2,0.7136,8554,34131,6104,174237,NULL,NULL,NULL
2,เพชรบูรณ์,11268,โรงพยาบาลหนองไผ่,โรงพยาบาลชุมชน,F1,141,0,0,0,0,0,2,0.6454,8322,33410,5371,191631,NULL,NULL,NULL
2,เพชรบูรณ์,11272,โรงพยาบาลเขาค้อ,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.5728,3873,10807,2219,71100,NULL,NULL,NULL
2,เพชรบูรณ์,11264,โรงพยาบาลชนแดน,โรงพยาบาลชุมชน,F2,60,0,0,0,0,0,2,0.6998,4823,14620,3375,125128,NULL,NULL,NULL
2,เพชรบูรณ์,11269,โรงพยาบาลบึงสามพัน,โรงพยาบาลชุมชน,F2,60,0,0,0,0,0,2,0.7005,8110,25595,5681,141274,NULL,NULL,NULL
2,เพชรบูรณ์,11271,โรงพยาบาลวังโป่ง,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.664,2754,8932,1829,89311,NULL,NULL,NULL
2,เพชรบูรณ์,11267,โรงพยาบาลศรีเทพ,โรงพยาบาลชุมชน,F2,58,0,0,0,0,0,1,0.6684,3112,11852,2080,123417,NULL,NULL,NULL
2,เพชรบูรณ์,11270,โรงพยาบาลน้ำหนาว,โรงพยาบาลชุมชน,F3,18,0,0,0,0,0,0,0.545,1240,3475,676,44877,NULL,NULL,NULL
2,สุโขทัย,10724,โรงพยาบาลสุโขทัย,โรงพยาบาลทั่วไป,S,320,13,6,0,0,19,6,1.2683,19492,88704,24721,331286,NULL,NULL,NULL
2,สุโขทัย,10725,โรงพยาบาลศรีสังวรสุโขทัย,โรงพยาบาลทั่วไป,M1,307,15,6,0,0,21,6,1.4668,17588,84512,25798,362483,NULL,NULL,NULL
2,สุโขทัย,11248,โรงพยาบาลสวรรคโลก,โรงพยาบาลชุมชน,M2,111,6,0,0,0,6,2,0.8737,7991,30027,6982,194056,NULL,NULL,NULL
2,สุโขทัย,11246,โรงพยาบาลกงไกรลาศ,โรงพยาบาลชุมชน,F2,34,0,0,0,0,0,1,0.5657,3703,10845,2095,121174,NULL,NULL,NULL
2,สุโขทัย,11245,โรงพยาบาลคีรีมาศ,โรงพยาบาลชุมชน,F2,40,0,0,0,0,0,1,0.7027,3643,11660,2560,136935,NULL,NULL,NULL
2,สุโขทัย,11250,โรงพยาบาลทุ่งเสลี่ยม,โรงพยาบาลชุมชน,F2,43,0,0,0,0,0,1,0.6295,3816,11424,2402,127181,NULL,NULL,NULL
2,สุโขทัย,11244,โรงพยาบาลบ้านด่านลานหอย,โรงพยาบาลชุมชน,F2,35,0,0,0,0,0,1,0.5853,3430,8035,2008,92862,NULL,NULL,NULL
2,สุโขทัย,11249,โรงพยาบาลศรีนคร,โรงพยาบาลชุมชน,F2,31,0,0,0,0,0,1,0.6912,1394,3434,963,81348,NULL,NULL,NULL
2,สุโขทัย,11247,โรงพยาบาลศรีสัชนาลัย,โรงพยาบาลชุมชน,F2,70,0,0,0,0,0,1,0.6424,6289,22540,4040,167561,NULL,NULL,NULL
2,อุตรดิตถ์,10673,โรงพยาบาลอุตรดิตถ์,โรงพยาบาลศูนย์,A,620,40,8,8,0,56,11,1.7673,43799,233360,77406,675420,NULL,NULL,NULL
2,อุตรดิตถ์,11160,โรงพยาบาลน้ำปาด,โรงพยาบาลชุมชน,F1,34,0,0,0,0,0,1,0.5812,3083,7813,1792,107344,NULL,NULL,NULL
2,อุตรดิตถ์,11158,โรงพยาบาลตรอน,โรงพยาบาลชุมชน,F2,34,0,0,0,0,0,1,0.7322,1501,5019,1099,87095,NULL,NULL,NULL
2,อุตรดิตถ์,11165,โรงพยาบาลทองแสนขัน,โรงพยาบาลชุมชน,F2,35,0,0,0,0,0,1,0.6707,1770,5741,1187,79999,NULL,NULL,NULL
2,อุตรดิตถ์,11159,โรงพยาบาลท่าปลา,โรงพยาบาลชุมชน,F2,35,0,0,0,0,0,1,0.5765,2688,7753,1550,101829,NULL,NULL,NULL
2,อุตรดิตถ์,11162,โรงพยาบาลบ้านโคก,โรงพยาบาลชุมชน,F2,30,0,0,0,0,0,1,0.5591,1470,4168,822,32511,NULL,NULL,NULL
2,อุตรดิตถ์,11163,โรงพยาบาลพิชัย,โรงพยาบาลชุมชน,F2,60,0,0,0,0,0,1,0.6445,3971,10056,2559,161594,NULL,NULL,NULL
